size(kB),bandwidth(GB/s)
1,150.779
1.0625,154.111
1.125,155.153
1.1875,156.313
1.25,157.372
1.3125,158.142
1.375,157.798
1.4375,156.854
1.5,156.084
1.5625,156.854
1.625,153.818
1.6875,150.898
1.75,149.881
1.8125,148.436
1.875,146.99
1.9375,147.583
2,147.229
2.0625,146.788
2.125,145.273
2.1875,93.2155
2.25,145.871
2.3125,145.473
2.375,121.707
2.4375,98.541
2.5,99.4447
2.5625,101.486
2.625,100.136
2.6875,103.035
2.75,103.578
2.8125,103.54
2.875,103.739
2.9375,104.239
3,105.127
3.0625,105.153
3.125,105.086
3.1875,106.344
3.25,107.489
3.3125,108.633
3.375,107.972
3.4375,109.202
3.5,109.277
3.5625,111.028
3.625,109.731
3.6875,109.93
3.75,111.376
3.8125,111.155
3.875,82.5992
3.9375,90.3101
4,114.059
4.0625,112.871
4.125,112.8
4.1875,113.051
4.25,115.309
4.3125,114.417
4.375,116.286
4.4375,115.202
4.5,116.003
4.5625,115.676
4.625,117.12
4.6875,115.483
4.75,117.676
4.8125,117.185
4.875,118.722
4.9375,116.872
5,116.886
5.0625,117.827
5.125,116.802
5.1875,118.581
5.25,117.904
5.3125,118.54
5.375,118.905
5.4375,117.761
5.5,118.322
5.5625,118.57
5.625,118.892
5.6875,119.696
5.75,123.408
5.8125,121.803
5.875,120.452
5.9375,119.865
6,120.3
6.0625,119.815
6.125,120.712
6.1875,122.272
6.25,120.535
6.3125,121.409
6.375,120.88
6.4375,121.258
6.5,121.989
6.5625,121.654
6.625,124.74
6.6875,121.284
6.75,123.131
6.8125,122.421
6.875,122.632
6.9375,122.646
7,123.602
7.0625,123.346
7.125,122.719
7.1875,122.83
7.25,122.018
7.3125,123.462
7.375,124.176
7.4375,122.886
7.5,123.854
7.5625,119.654
7.625,126.631
7.6875,123.372
7.75,124.176
7.8125,124.135
7.875,124.878
7.9375,126.606
8,126.776
8.0625,125.689
8.125,126.065
8.1875,126.091
8.25,127.074
8.3125,126.616
8.375,127.192
8.4375,126.202
8.5,127.949
8.5625,128.252
8.625,126.225
8.6875,126.925
8.75,128.775
8.8125,128.075
8.875,128.328
8.9375,126.913
9,129.468
9.0625,127.831
9.125,127.291
9.1875,126.929
9.25,129.948
9.3125,127.648
9.375,127.378
9.4375,127.096
9.5,128.236
9.5625,128.77
9.625,123.516
9.6875,124.494
9.75,129.188
9.8125,128.968
9.875,128.585
9.9375,128.486
10,128.744
10.0625,129.139
10.125,128.695
10.1875,128.402
10.25,129.352
10.3125,129.371
10.375,128.825
10.4375,128.804
10.5,130.173
10.5625,131.059
10.625,129.534
10.6875,129.362
10.75,129.037
10.8125,129.592
10.875,128.532
10.9375,128.545
11,132.438
11.0625,129.631
11.125,129.378
11.1875,129.426
11.25,130.189
11.3125,130.453
11.375,129.855
11.4375,130.537
11.5,128.565
11.5625,129.865
11.625,129.856
11.6875,125.781
11.75,126.425
11.8125,126.003
11.875,132.323
11.9375,130.354
12,130.775
12.0625,130.324
12.125,130.049
12.1875,131.251
12.25,130.691
12.3125,131.623
12.375,130.24
12.4375,130.509
12.5,130.662
12.5625,131.006
12.625,130.509
12.6875,130.526
12.75,132.311
12.8125,130.95
12.875,130.936
12.9375,131.076
13,131.388
13.0625,131.622
13.125,130.582
13.1875,131.027
13.25,131.558
13.3125,131.488
13.375,105.147
13.4375,130.966
13.5,132.421
13.5625,131.807
13.625,134.102
13.6875,132.16
13.75,132.288
13.8125,132.348
13.875,131.487
13.9375,131.349
14,132.036
14.0625,132.35
14.125,131.21
14.1875,131.177
14.25,132.056
14.3125,131.949
14.375,131.609
14.4375,131.745
14.5,133.433
14.5625,132.752
14.625,132.01
14.6875,132.28
14.75,133.384
14.8125,132.91
14.875,132.498
14.9375,133.441
15,133.462
15.0625,132.308
15.125,132.54
15.1875,132.625
15.25,132.842
15.3125,132.677
15.375,134.139
15.4375,132.211
15.5,133.363
15.5625,133.15
15.625,133.529
15.6875,132.069
15.75,134.338
15.8125,135.325
15.875,132.763
15.9375,133.122
16,133.323
16.0625,133.756
16.125,133.126
16.1875,132.62
16.25,134.437
16.3125,133.186
16.375,132.815
16.4375,133.595
16.5,134.223
16.5625,133.074
16.625,133.413
16.6875,134.016
16.75,134.078
16.8125,134.386
16.875,133.848
16.9375,133.362
17,133.529
17.0625,133.58
17.125,135.314
17.1875,132.971
17.25,134.205
17.3125,133.24
17.375,133.339
17.4375,132.518
17.5,134.418
17.5625,133.692
17.625,129.351
17.6875,129.065
